epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,2479.56,2.0757,2.54829,1.6371,0.49458,0.26639,0.23847,0.13716,2.28922,2.82341,1.54281,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,2520.79,2.08107,2.55066,1.64286,0.51621,0.26067,0.24491,0.14401,2.28211,2.83453,1.53442,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,2562.21,2.04571,2.55487,1.62919,0.52807,0.26253,0.23843,0.13611,2.29043,2.82473,1.55205,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,2603.67,2.06166,2.51986,1.61824,0.51152,0.27059,0.24023,0.13844,2.25869,2.85066,1.54269,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,2645.53,2.04094,2.49187,1.60709,0.54107,0.25411,0.24704,0.14269,2.26108,2.81684,1.5365,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,2687.98,2.05749,2.49955,1.61678,0.50984,0.26718,0.23938,0.14207,2.23726,2.79024,1.52089,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,2728.64,2.04269,2.5082,1.61283,0.49631,0.26259,0.23329,0.13032,2.23904,2.78612,1.51917,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,2769.27,2.02573,2.44067,1.61326,0.51385,0.26687,0.24554,0.14491,2.26347,2.8362,1.52977,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,2811.12,2.03146,2.46562,1.6046,0.51524,0.27503,0.2493,0.1449,2.22904,2.7652,1.5175,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,2851.87,2.03557,2.46903,1.60827,0.52868,0.25894,0.25016,0.14511,2.21408,2.78116,1.52843,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,2893.01,2.0291,2.47044,1.60889,0.53802,0.27663,0.24661,0.14421,2.22006,2.74226,1.5082,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,2934.89,1.99478,2.41731,1.59571,0.57018,0.27023,0.25572,0.15288,2.24341,2.69971,1.51331,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,2975.64,2.01052,2.40918,1.58034,0.56761,0.27188,0.26029,0.1532,2.23485,2.66343,1.51004,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,3016.72,2.02629,2.45431,1.59772,0.4326,0.26962,0.2566,0.1553,2.2237,2.71616,1.52199,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,3059.27,2.0086,2.44146,1.59051,0.55786,0.26185,0.25407,0.15013,2.23033,2.70007,1.49936,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,3100.17,2.03796,2.48065,1.58927,0.5391,0.27981,0.25651,0.14917,2.23292,2.71724,1.49118,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,3143.18,2.00232,2.42474,1.58256,0.52335,0.2865,0.26238,0.15491,2.20071,2.6974,1.48849,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,3184.57,2.01785,2.43239,1.5961,0.55023,0.27768,0.25874,0.15308,2.18772,2.73673,1.49197,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,3225.74,2.00856,2.42555,1.57976,0.43205,0.2802,0.26079,0.15839,2.21222,2.71134,1.49218,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,3268.67,2.00138,2.40752,1.5667,0.41842,0.27851,0.25614,0.15045,2.26066,2.74864,1.52565,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,3309.47,2.00214,2.42042,1.59526,0.56302,0.28128,0.26525,0.15653,2.21676,2.71641,1.50881,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,3350.47,1.98635,2.36908,1.58083,0.53033,0.28771,0.2647,0.15867,2.19324,2.65149,1.48393,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,3391.35,1.98271,2.38019,1.56255,0.56876,0.28178,0.26754,0.1593,2.16381,2.65956,1.48474,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,3432.71,1.98253,2.39716,1.55801,0.54513,0.28846,0.26661,0.15881,2.18351,2.64337,1.48266,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,3474.22,1.99269,2.4091,1.57449,0.54665,0.28786,0.26534,0.16286,2.18653,2.6597,1.48123,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,3515.02,1.96856,2.38189,1.56778,0.56379,0.28162,0.27155,0.16173,2.21308,2.62561,1.48997,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,3556.47,1.95137,2.33889,1.54665,0.53764,0.28973,0.27228,0.16456,2.18874,2.62028,1.48432,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,3597.05,1.96127,2.31935,1.5273,0.53766,0.28719,0.26578,0.15847,2.19766,2.62466,1.49316,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,3638.99,1.95315,2.35743,1.55198,0.54935,0.28816,0.26491,0.15838,2.20924,2.60301,1.47574,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,3681.07,1.97752,2.3552,1.55284,0.54131,0.29827,0.27179,0.16459,2.1921,2.64095,1.47171,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,3722.47,1.94283,2.34242,1.53846,0.54489,0.29799,0.27228,0.16341,2.16122,2.59062,1.45947,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,3764.07,1.95405,2.3531,1.52847,0.54622,0.2924,0.27221,0.16644,2.17379,2.61745,1.47089,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,3804.85,1.94703,2.35082,1.53452,0.42635,0.29762,0.27288,0.16894,2.15591,2.55429,1.45383,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,3845.66,1.94165,2.34837,1.55073,0.45062,0.2963,0.28038,0.16842,2.15107,2.56424,1.45175,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
