epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,6990.95,1.84885,2.13689,1.55563,0.42685,0.30546,0.27947,0.17153,2.19154,2.52479,1.52592,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,7091.71,1.80203,2.1003,1.53782,0.31745,0.32219,0.28308,0.17535,2.20234,2.5656,1.56407,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,7191.39,1.83239,2.091,1.53764,0.33548,0.31847,0.28869,0.18321,2.18034,2.46513,1.52918,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,7291.11,1.8395,2.10753,1.55153,0.48285,0.30429,0.28751,0.18032,2.17997,2.51264,1.53885,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,7390.62,1.84028,2.10149,1.53499,0.47814,0.318,0.30113,0.18409,2.19065,2.48802,1.52661,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,7490.25,1.82748,2.11352,1.53179,0.38542,0.32142,0.29986,0.18396,2.15027,2.50406,1.529,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,7589.31,1.82036,2.07399,1.52636,0.49301,0.30528,0.29645,0.18445,2.18353,2.52414,1.51647,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,7689.07,1.83619,2.0898,1.54041,0.35318,0.31147,0.28793,0.18051,2.16356,2.55182,1.52141,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,7789.3,1.81835,2.05765,1.5177,0.49384,0.31208,0.2945,0.18307,2.17313,2.5256,1.52061,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,7889.09,1.82234,2.03136,1.51284,0.48337,0.31823,0.2946,0.18105,2.18244,2.50457,1.51781,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,7988.48,1.81403,2.03631,1.53677,0.48339,0.32222,0.29507,0.18525,2.15872,2.50195,1.51322,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,8088.69,1.77535,2.01372,1.5205,0.47122,0.32125,0.29422,0.1843,2.16293,2.47627,1.51821,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,8188.66,1.78899,2.00963,1.50235,0.3754,0.32805,0.29613,0.18712,2.15419,2.48221,1.51959,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,8288.29,1.80573,2.01997,1.49821,0.33461,0.32767,0.29014,0.18518,2.14578,2.5214,1.50021,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,8387.63,1.80308,2.04565,1.52102,0.5283,0.31436,0.30083,0.18971,2.14172,2.48755,1.5099,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,8487.65,1.78444,2.01173,1.50885,0.50051,0.31761,0.29574,0.18587,2.15409,2.46157,1.52922,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,8587.41,1.7601,1.96905,1.4964,0.39869,0.3241,0.30162,0.19414,2.1478,2.46406,1.51453,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,8687.42,1.76235,1.96794,1.47569,0.37439,0.33383,0.3005,0.19107,2.15106,2.44726,1.52136,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,8787.72,1.76358,1.96945,1.50473,0.40442,0.32414,0.30262,0.1905,2.14476,2.42289,1.50988,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,8888.08,1.77107,1.98244,1.50056,0.51225,0.33371,0.30335,0.19316,2.16713,2.43677,1.51416,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,8987.57,1.77244,1.9623,1.49902,0.39494,0.33273,0.30474,0.19398,2.16906,2.41774,1.51516,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,9087.15,1.76404,1.95826,1.4722,0.42885,0.32661,0.30524,0.19552,2.16463,2.43568,1.53089,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,9187.33,1.73901,1.93604,1.47134,0.54457,0.31462,0.30269,0.19741,2.15064,2.41457,1.49977,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,9286.35,1.76244,1.9501,1.5044,0.52751,0.3145,0.30601,0.1942,2.15603,2.40822,1.49697,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,9385.57,1.7508,1.9328,1.47823,0.38948,0.33682,0.3035,0.19635,2.14281,2.41167,1.50976,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,9484.41,1.75494,1.9001,1.46443,0.38686,0.33121,0.3052,0.19753,2.15115,2.41891,1.51347,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,9583.44,1.74777,1.90222,1.47419,0.42786,0.32059,0.30463,0.19817,2.12728,2.42367,1.48472,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,9683.31,1.73691,1.88059,1.47183,0.3853,0.3394,0.30427,0.19329,2.13053,2.41077,1.50059,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,9782.69,1.73864,1.89196,1.46375,0.39216,0.33115,0.31016,0.19776,2.13205,2.36421,1.50789,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,9882.43,1.7414,1.88305,1.46362,0.37279,0.34434,0.30544,0.19513,2.12688,2.38553,1.50449,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,9981.51,1.72108,1.88532,1.45651,0.37468,0.34653,0.30877,0.19817,2.13672,2.38325,1.50855,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,10079.7,1.74754,1.91982,1.4554,0.38646,0.34715,0.30782,0.19599,2.13786,2.3882,1.51985,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
